Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-JUN-2023,9975.15,10017.1,9953.45,10004.9,1378128408,63309.77
30-JUN-2023,10054.7,10109.3,10033.2,10104.35,1080531994,49755.14
03-JUL-2023,10139.4,10173.8,10134.2,10164.4,1165626542,39638.72
04-JUL-2023,10206.7,10208.35,10146.7,10182.8,1509181842,44287.13
05-JUL-2023,10196.85,10214.75,10170,10205.3,1350972831,44734.44
06-JUL-2023,10205.5,10269.9,10198.65,10264.2,1347481802,47222.64
07-JUL-2023,10234.6,10277.85,10163.25,10178.1,1240305349,41549.11
10-JUL-2023,10212.05,10214.65,10159.3,10175.4,1065011949,41721.43
11-JUL-2023,10210.85,10265.7,10201.35,10230.55,1070887363,46142.91
12-JUL-2023,10260,10264.1,10209.6,10218.6,1157809102,61108.31
13-JUL-2023,10272.45,10302.35,10195.8,10212.1,1385965979,47912.8
14-JUL-2023,10255.8,10310.1,10224.85,10296.35,1018252959,43022.33
17-JUL-2023,10322.25,10368.8,10302,10360.3,1232004380,43946
18-JUL-2023,10397.15,10405.25,10335.25,10367.95,1323408635,51343.28
19-JUL-2023,10395.85,10423.9,10366.05,10416.35,1202174072,44527.76
20-JUL-2023,10421.1,10480.4,10387.65,10475.15,1280581854,51025.76
21-JUL-2023,10399,10437,10355.8,10374.65,,
24-JUL-2023,10381.3,10396.85,10336.75,10344.1,1596011222,46526.94
25-JUL-2023,10375.75,10375.75,10318.35,10361.9,1321073090,50562.54
26-JUL-2023,10392.85,10434.35,10379.7,10411.55,1632520101,43848.8
27-JUL-2023,10450.25,10460.6,10341.7,10372.15,1570369863,57502.46
28-JUL-2023,10379.95,10394.75,10343.5,10386.6,1269997501,46007.93
31-JUL-2023,10397.85,10454.8,10372,10445.9,1569505847,46642.33
01-AUG-2023,10466.35,10469.7,10421.85,10437.5,1397918639,45443.08
02-AUG-2023,10404.55,10413.75,10258.65,10320.9,1432729118,47403.39
03-AUG-2023,10293.25,10330.25,10213.65,10262.6,1840645331,59971.5
04-AUG-2023,10308,10348.75,10298.7,10337.35,1769484388,55325.97
07-AUG-2023,10368.85,10387.25,10339,10378.25,1542729312,46160.05
08-AUG-2023,10398.15,10401.9,10336.2,10370.6,1613792359,50761.48
09-AUG-2023,10379.9,10407.2,10321.95,10401.6,1218547398,46932.19
10-AUG-2023,10395.4,10403.6,10334.7,10358.75,1483692915,54637.74
11-AUG-2023,10372.6,10373.95,10296.1,10304.6,1217932399,48708.8
14-AUG-2023,10282.1,10306.55,10188.4,10289.15,1245462320,42979.45
